feature_type,held_out_cohort,n_train,n_test,n_test_ibd,n_test_control,auroc,auprc,best_C,best_l1_ratio
pathway,HMP_2019_ibdmdb,222,130,103,27,0.6184825602301329,0.8819440622753754,0.0155905423533787,0.0596778966095683
pathway,HallAB_2017,321,31,19,12,0.3289473684210526,0.5778189965240343,0.3181544895665898,0.3515459417766922
pathway,IjazUZ_2017,302,50,12,38,0.8004385964912282,0.7527554303485156,0.0905950702115975,0.0152674743162355
pathway,NielsenHB_2014,211,141,82,59,0.5779247622984705,0.6680565047734877,0.0905562994706895,0.018104362624012
combined,HMP_2019_ibdmdb,222,130,103,27,0.7856886012225819,0.9159229310439136,0.0569746422594308,0.4558227378055183
combined,HallAB_2017,321,31,19,12,0.8026315789473685,0.8975972181096832,0.039067929341391,0.1905546004707623
combined,IjazUZ_2017,302,50,12,38,0.9736842105263158,0.924486161986162,0.0155905423533787,0.0596778966095683
combined,NielsenHB_2014,211,141,82,59,0.6907813145928069,0.7756142988114612,0.0155905423533787,0.0596778966095683
species,HMP_2019_ibdmdb,223,130,103,27,0.7580007191657676,0.892128111757629,0.0454733415772447,0.5318275870968661
species,HallAB_2017,321,32,20,12,0.8,0.8974774019084364,0.0155905423533787,0.0596778966095683
species,IjazUZ_2017,303,50,12,38,0.9583333333333331,0.8873359949017845,0.039067929341391,0.1905546004707623
species,NielsenHB_2014,212,141,82,59,0.7071103761885076,0.7846641515200702,0.0155905423533787,0.0596778966095683
