feature_type,panel,model_a,model_b,mean_a,mean_b,mean_diff,wilcoxon_stat,wilcoxon_p,paired_t_stat,paired_t_p,wilcoxon_underpowered_at_n5,significant_paired_t_p05
combined,rfe_full_pool,random_forest,elasticnet,0.8126276104847532,0.8312720612720612,-0.01864445078730803,0.0,0.0625,-8.564749026141287,0.001020513897614243,True,True
combined,rfe_full_pool,lightgbm,elasticnet,0.810913134484563,0.8312720612720612,-0.020358926787498177,0.0,0.0625,-8.90622955510431,0.0008784733938259483,True,True
combined,rfe_full_pool,xgboost,elasticnet,0.8164811379097093,0.8312720612720612,-0.014790923362351882,1.0,0.125,-2.9956756039320585,0.04011271876379393,True,True
combined,rfe_full_pool,random_forest,lightgbm,0.8126276104847532,0.810913134484563,0.001714476000190146,4.0,0.4375,0.9836837842531485,0.3809631958608299,True,False
combined,rfe_full_pool,random_forest,xgboost,0.8126276104847532,0.8164811379097093,-0.003853527424956149,6.0,0.8125,-0.6213178583227712,0.5680465762889022,True,False
combined,rfe_full_pool,xgboost,lightgbm,0.8164811379097093,0.810913134484563,0.005568003425146295,6.0,0.8125,1.0447148240691384,0.3551302961283494,True,False
pathway,rfe_full_pool,random_forest,elasticnet,0.6488073830930974,0.6916219494790923,-0.0428145663859949,0.0,0.0625,-7.886285352684802,0.0013979296162503821,True,True
pathway,rfe_full_pool,lightgbm,elasticnet,0.6594681508967224,0.6916219494790923,-0.032153798582369886,0.0,0.0625,-9.09185358819186,0.0008115271016844171,True,True
pathway,rfe_full_pool,random_forest,lightgbm,0.6488073830930974,0.6594681508967224,-0.010660767803625015,1.0,0.125,-2.5069597572900255,0.06627205845627351,True,False
pathway,rfe_full_pool,xgboost,elasticnet,0.6564223871366728,0.6916219494790923,-0.0351995623424195,1.0,0.125,-3.6804629395804658,0.02119534404303537,True,True
pathway,rfe_full_pool,random_forest,xgboost,0.6488073830930974,0.6564223871366728,-0.007615004043575402,2.0,0.1875,-1.5424346263981348,0.19783299559148582,True,False
pathway,rfe_full_pool,xgboost,lightgbm,0.6564223871366728,0.6594681508967224,-0.0030457637600496135,5.0,0.625,-0.4013227193670534,0.708698162655721,True,False
pathway,rfe_optimum,random_forest,elasticnet,0.6261731126016841,0.664445078730793,-0.03827196612910888,0.0,0.0625,-4.793733791528734,0.008687821627168376,True,True
pathway,rfe_optimum,xgboost,elasticnet,0.6236342229199372,0.664445078730793,-0.04081085581085575,0.0,0.0625,-7.051010347000452,0.002133258936041186,True,True
pathway,rfe_optimum,lightgbm,elasticnet,0.6142607392607393,0.664445078730793,-0.05018433947005363,0.0,0.0625,-10.433443408771625,0.00047676089712486475,True,True
pathway,rfe_optimum,random_forest,lightgbm,0.6261731126016841,0.6142607392607393,0.011912373340944749,3.0,0.3125,1.5018476624567902,0.20754642155412226,True,False
pathway,rfe_optimum,xgboost,lightgbm,0.6236342229199372,0.6142607392607393,0.009373483659197879,3.0,0.3125,1.4441228662151515,0.22220147748634025,True,False
pathway,rfe_optimum,random_forest,xgboost,0.6261731126016841,0.6236342229199372,0.00253888968174687,7.0,1.0,0.30882892931733813,0.7728682401032612,True,False
pathway,rfe_parsimony,xgboost,elasticnet,0.6228975786118643,0.667154750011893,-0.044257171400028605,0.0,0.0625,-6.023931961491588,0.0038262832371602474,True,True
pathway,rfe_parsimony,lightgbm,elasticnet,0.6189674611103182,0.667154750011893,-0.048187288901574754,0.0,0.0625,-3.8081370483433554,0.01897047679731803,True,True
pathway,rfe_parsimony,elasticnet,random_forest,0.667154750011893,0.6255463584035013,0.04160839160839169,0.0,0.0625,5.072549734142138,0.00711770891349719,True,True
pathway,rfe_parsimony,lightgbm,random_forest,0.6189674611103182,0.6255463584035013,-0.006578897293183061,5.0,0.625,-0.766287350156678,0.4862270041288306,True,False
pathway,rfe_parsimony,xgboost,lightgbm,0.6228975786118643,0.6189674611103182,0.003930117501546149,6.0,0.8125,0.47624500860892394,0.6587465739496418,True,False
pathway,rfe_parsimony,xgboost,random_forest,0.6228975786118643,0.6255463584035013,-0.0026487797916369127,6.0,0.8125,-0.4015760695335816,0.7085260170364541,True,False
species,rfe_full_pool,xgboost,elasticnet,0.8113851992409866,0.8207305502846299,-0.009345351043643313,1.0,0.125,-2.7169262502278166,0.053155351259036136,True,False
species,rfe_full_pool,xgboost,lightgbm,0.8113851992409866,0.8183721875847114,-0.006986988343724798,4.0,0.4375,-1.0656929897857503,0.3466150603228261,True,False
species,rfe_full_pool,random_forest,lightgbm,0.8150921658986174,0.8183721875847114,-0.0032800216860939813,5.0,0.625,-0.7010896928067484,0.5218882169718057,True,False
species,rfe_full_pool,random_forest,xgboost,0.8150921658986174,0.8113851992409866,0.003706966657630817,6.0,0.8125,0.6913581840505263,0.5273716272182366,True,False
species,rfe_full_pool,random_forest,elasticnet,0.8150921658986174,0.8207305502846299,-0.005638384386012496,6.0,0.8125,-1.1506038981166697,0.31400004755685534,True,False
species,rfe_full_pool,lightgbm,elasticnet,0.8183721875847114,0.8207305502846299,-0.0023583626999185148,7.0,1.0,-0.2987323665424529,0.7800209206504043,True,False
species,rfe_optimum,lightgbm,elasticnet,0.8095452697207917,0.8267213336947682,-0.01717606397397653,0.0,0.0625,-3.0338089560624204,0.03863593756632117,True,True
species,rfe_optimum,xgboost,elasticnet,0.8157563025210084,0.8267213336947682,-0.010965031173759798,1.0,0.125,-3.477507882073561,0.025409478931415617,True,True
species,rfe_optimum,elasticnet,random_forest,0.8267213336947682,0.816345893195988,0.010375440498780142,1.0,0.125,2.701018757599407,0.054037268887296534,True,False
species,rfe_optimum,xgboost,lightgbm,0.8157563025210084,0.8095452697207917,0.006211032800216731,3.0,0.3125,1.3135553414976757,0.2592715784275461,True,False
species,rfe_optimum,lightgbm,random_forest,0.8095452697207917,0.816345893195988,-0.006800623475196388,3.0,0.3125,-1.3509121852407575,0.2480835020881497,True,False
species,rfe_optimum,xgboost,random_forest,0.8157563025210084,0.816345893195988,-0.0005895906749796564,7.5,1.0,-0.29898584360824704,0.7798410240197983,True,False
species,rfe_parsimony,lightgbm,random_forest,0.8133335592301437,0.8175250745459474,-0.00419151531580364,4.0,0.4375,-1.3226852840957837,0.2564926001684056,True,False
species,rfe_parsimony,elasticnet,random_forest,0.8125372729737057,0.8175250745459474,-0.004987801572241657,4.5,0.5,-0.8242814218945211,0.45609287224463946,True,False
species,rfe_parsimony,xgboost,random_forest,0.8141095147736515,0.8175250745459474,-0.0034155597722959063,6.0,0.8125,-0.828945125995489,0.4537347586308642,True,False
species,rfe_parsimony,xgboost,lightgbm,0.8141095147736515,0.8133335592301437,0.0007759555435077337,7.0,1.0,0.24111595788052953,0.821320389729607,True,False
species,rfe_parsimony,xgboost,elasticnet,0.8141095147736515,0.8125372729737057,0.0015722417999457505,7.0,1.0,0.2125908623817014,0.8420405086226506,True,False
species,rfe_parsimony,lightgbm,elasticnet,0.8133335592301437,0.8125372729737057,0.0007962862564380169,7.0,1.0,0.10013008589894985,0.9250588844217527,True,False
