"feature","sig_tier1","sig_tier2","sig_both","coef_tier1","qval_tier1","coef_tier2","qval_tier2"
"Gemmiger.formicilis",TRUE,TRUE,TRUE,-3.10654724828063,1.2045964246213e-12,-3.09436005833869,6.47906111466128e-06
"Ruminococcus.bromii",TRUE,TRUE,TRUE,-4.21820219524098,3.15335715178512e-09,-2.49164794693382,0.00488074791336016
"Adlercreutzia.equolifaciens",TRUE,TRUE,TRUE,-2.96257964944232,7.29348387356962e-08,-2.27245244230683,0.00024786675363716
"Alistipes.putredinis",TRUE,TRUE,TRUE,-3.45962631433329,4.79279178675731e-07,-3.40889159829318,0.00485928282637791
"Fusicatenibacter.saccharivorans",TRUE,TRUE,TRUE,-2.56439375144303,7.02594542507978e-07,-2.28782527707723,0.0181404549452022
"X.Ruminococcus..torques",TRUE,TRUE,TRUE,-2.7746171962287,1.93042078118804e-06,-3.55131809446902,0.000653018583093987
"Erysipelatoclostridium.ramosum",TRUE,TRUE,TRUE,1.90693604654259,6.9533534306161e-05,2.10211186951391,0.00460209057616546
"Anaerobutyricum.hallii",TRUE,TRUE,TRUE,-2.20399446698006,7.26106460271323e-05,-2.92976586125849,0.00391666668848271
"X.Clostridium..leptum",TRUE,TRUE,TRUE,-2.14178519240352,0.000247370225448709,-2.42446355378663,0.0164534527301297
"Eubacterium.ventriosum",TRUE,TRUE,TRUE,-1.53373749191163,0.000384784941713624,-1.8207883521411,0.00391666668848271
"Ruminococcus.bicirculans",TRUE,TRUE,TRUE,-2.31115179999398,0.000482601317772601,-2.77361939965431,0.00391666668848271
"X.Eubacterium..rectale",TRUE,TRUE,TRUE,-2.1376936093522,0.000670180976143312,-2.68089638849936,0.00391666668848271
"Roseburia.inulinivorans",TRUE,TRUE,TRUE,-1.73516967659398,0.00129413144767585,-2.0989999336978,0.0355561384029792
"Coprococcus.catus",TRUE,TRUE,TRUE,-1.6536091151573,0.00191116604563522,-2.23563465287272,0.00485928282637791
"X.Ruminococcus..lactaris",TRUE,TRUE,TRUE,-1.76000657659994,0.00385498986717099,-1.53586944186308,0.032313678615988
"X.Clostridium..symbiosum",TRUE,TRUE,TRUE,1.41553867240777,0.00513996041736575,1.68692861171737,0.0439424806471
"Enterocloster.clostridioformis",TRUE,TRUE,TRUE,1.25512354650869,0.00525751658864419,1.41882196377479,0.0439424806471
"Eubacterium.sp..CAG.274",TRUE,TRUE,TRUE,-1.3584454745446,0.00613211261991497,-1.00764346739632,0.0382655352397657
"Escherichia.coli",TRUE,TRUE,TRUE,1.48410321344914,0.0201505422612603,2.15702657794268,0.032313678615988
"Turicibacter.sanguinis",TRUE,TRUE,TRUE,-0.97364574122773,0.0274457258965483,-1.6003843923905,0.0418731992281875
"Anaerostipes.hadrus",TRUE,TRUE,TRUE,-1.00183093845154,0.0329569564020282,-1.79749157961994,0.0428101104895337
"Clostridium.sp..CAG.167",TRUE,TRUE,TRUE,-0.948120505042073,0.0414171859579305,-0.885034133374506,0.032313678615988
