"feature","sig_tier1","sig_tier2","sig_both"
"Gemmiger.formicilis",TRUE,TRUE,TRUE
"Ruminococcus.bromii",TRUE,TRUE,TRUE
"Adlercreutzia.equolifaciens",TRUE,TRUE,TRUE
"Coprococcus.eutactus",TRUE,FALSE,FALSE
"Alistipes.putredinis",TRUE,TRUE,TRUE
"Fusicatenibacter.saccharivorans",TRUE,TRUE,TRUE
"X.Ruminococcus..torques",TRUE,TRUE,TRUE
"Oscillibacter.sp..CAG.241",TRUE,FALSE,FALSE
"Alistipes.shahii",TRUE,FALSE,FALSE
"Erysipelatoclostridium.ramosum",TRUE,TRUE,TRUE
"Anaerobutyricum.hallii",TRUE,TRUE,TRUE
"X.Clostridium..leptum",TRUE,TRUE,TRUE
"Akkermansia.muciniphila",TRUE,FALSE,FALSE
"Butyricimonas.synergistica",TRUE,FALSE,FALSE
"Lachnospira.pectinoschiza",TRUE,FALSE,FALSE
"Alistipes.finegoldii",TRUE,FALSE,FALSE
"Eubacterium.ventriosum",TRUE,TRUE,TRUE
"Firmicutes.bacterium.CAG.110",TRUE,FALSE,FALSE
"Ruminococcus.bicirculans",TRUE,TRUE,TRUE
"X.Eubacterium..rectale",TRUE,TRUE,TRUE
"Oscillibacter.sp..57_20",TRUE,FALSE,FALSE
"Roseburia.hominis",TRUE,FALSE,FALSE
"Roseburia.inulinivorans",TRUE,TRUE,TRUE
"Methanobrevibacter.smithii",TRUE,FALSE,FALSE
"Coprococcus.catus",TRUE,TRUE,TRUE
"Parabacteroides.goldsteinii",TRUE,FALSE,FALSE
"X.Eubacterium..siraeum",TRUE,FALSE,FALSE
"X.Ruminococcus..lactaris",TRUE,TRUE,TRUE
"Odoribacter.splanchnicus",TRUE,FALSE,FALSE
"Ruthenibacterium.lactatiformans",TRUE,FALSE,FALSE
"X.Clostridium..symbiosum",TRUE,TRUE,TRUE
"Enterocloster.clostridioformis",TRUE,TRUE,TRUE
"Eubacterium.sp..CAG.38",TRUE,FALSE,FALSE
"Firmicutes.bacterium.CAG.83",TRUE,FALSE,FALSE
"Eubacterium.sp..CAG.274",TRUE,TRUE,TRUE
"Phocaeicola.massiliensis",TRUE,FALSE,FALSE
"Lawsonibacter.asaccharolyticus",TRUE,FALSE,FALSE
"Bacteroides.xylanisolvens",TRUE,FALSE,FALSE
"Bacteroides.galacturonicus",TRUE,FALSE,FALSE
"Agathobaculum.butyriciproducens",TRUE,FALSE,FALSE
"Barnesiella.intestinihominis",TRUE,FALSE,FALSE
"Bacteroides.eggerthii",TRUE,FALSE,FALSE
"Coprococcus.comes",TRUE,FALSE,FALSE
"Butyricimonas.virosa",TRUE,FALSE,FALSE
"Bacteroides.uniformis",TRUE,FALSE,FALSE
"Coprobacter.fastidiosus",TRUE,FALSE,FALSE
"Escherichia.coli",TRUE,TRUE,TRUE
"Bilophila.wadsworthia",TRUE,FALSE,FALSE
"Coprobacillus.cateniformis",TRUE,FALSE,FALSE
"X.Ruminococcus..gnavus",TRUE,FALSE,FALSE
"Coprobacter.secundus",TRUE,FALSE,FALSE
"Enterocloster.lavalensis",TRUE,FALSE,FALSE
"Dielma.fastidiosa",TRUE,FALSE,FALSE
"X.Clostridium..innocuum",TRUE,FALSE,FALSE
"Turicibacter.sanguinis",TRUE,TRUE,TRUE
"Clostridium.sp..CAG.242",TRUE,FALSE,FALSE
"Blautia.obeum",TRUE,FALSE,FALSE
"Anaerostipes.hadrus",TRUE,TRUE,TRUE
"Blautia.hydrogenotrophica",TRUE,FALSE,FALSE
"Ruminococcus.callidus",TRUE,FALSE,FALSE
"Firmicutes.bacterium.CAG.95",TRUE,FALSE,FALSE
"Clostridium.bolteae.CAG.59",TRUE,FALSE,FALSE
"Clostridium.sp..CAG.167",TRUE,TRUE,TRUE
"Acidaminococcus.intestini",TRUE,FALSE,FALSE
"Clostridium.sp..CAG.58",TRUE,FALSE,FALSE
"Bifidobacterium.adolescentis",FALSE,TRUE,FALSE
"Bifidobacterium.longum",FALSE,TRUE,FALSE
