"feature","statistic","statistic_corrected","pval","qval"
"Gemmiger formicilis",7.18595164828017,-7.18595164828017,6.67466082404644e-13,1.00787378443101e-10
"Ruminococcus bromii",6.01921415301136,-6.01921415301136,1.75265868485042e-09,1.32325730706206e-07
"Adlercreutzia equolifaciens",5.70937941785422,-5.70937941785422,1.13388858302699e-08,5.70723920123584e-07
"Alistipes putredinis",5.57366739360778,-5.57366739360778,2.49431750809492e-08,9.41604859305833e-07
"Oscillibacter sp. CAG:241",5.0072717830538,-5.0072717830538,5.5206948457176e-07,1.39502146058919e-05
"Coprococcus eutactus",5.00649077747871,-5.00649077747871,5.54313163148024e-07,1.39502146058919e-05
"Alistipes shahii",4.63880018580285,-4.63880018580285,3.50437655427527e-06,7.55944085279379e-05
"[Ruminococcus] torques",4.54996531129344,-4.54996531129344,5.36547600593629e-06,0.000101273359612047
"[Clostridium] leptum",4.4196895299212,-4.4196895299212,9.88428012749232e-06,0.000165836255472371
"Alistipes finegoldii",4.16412161666682,-4.16412161666682,3.12553492007872e-05,0.000471955772931887
"Oscillibacter sp. 57_20",4.08553428855337,-4.08553428855337,4.39755054442159e-05,0.000513322292047892
"Eubacterium ventriosum",4.0760381998484,-4.0760381998484,4.58094965993805e-05,0.000513322292047892
"Erysipelatoclostridium ramosum",-4.07205656179391,4.07205656179391,4.65998591651537e-05,0.000513322292047892
"Fusicatenibacter saccharivorans",4.06714419868426,-4.06714419868426,4.75927952892086e-05,0.000513322292047892
"Lachnospira pectinoschiza",3.92891907982672,-3.92891907982672,8.53285443827012e-05,0.00081095958493558
"Firmicutes bacterium CAG:110",3.92658551637509,-3.92658551637509,8.61602677537654e-05,0.00081095958493558
"Butyricimonas synergistica",3.91262015310333,-3.91262015310333,9.13000857212243e-05,0.00081095958493558
"Anaerobutyricum hallii",3.80575305197533,-3.80575305197533,0.000141373386713939,0.00113083717751528
"Ruminococcus bicirculans",3.80415203762935,-3.80415203762935,0.000142290770680731,0.00113083717751528
"Parabacteroides goldsteinii",3.53006942631647,-3.53006942631647,0.000415450633220127,0.00313665228081196
"Roseburia inulinivorans",3.47100010100207,-3.47100010100207,0.000518523804520443,0.00372843307059938
"Methanobrevibacter smithii",3.40775675728103,-3.40775675728103,0.000654992541389232,0.00449563062498973
"[Eubacterium] siraeum",3.36698885519928,-3.36698885519928,0.000759937594168481,0.00498915550954089
"Coprococcus catus",3.30279629955568,-3.30279629955568,0.000957258971896913,0.00582543384204674
"[Ruminococcus] lactaris",3.30068943050823,-3.30068943050823,0.000964475801663367,0.00582543384204674
"Roseburia hominis",3.26540842080982,-3.26540842080982,0.00109306344497107,0.00628648155324642
"Akkermansia muciniphila",3.25724198839883,-3.25724198839883,0.0011250048075373,0.00628648155324642
"Odoribacter splanchnicus",3.24625611131869,-3.24625611131869,0.00116933591693935,0.00628648155324642
"Bacteroides eggerthii",3.23714097700511,-3.23714097700511,0.00120733751684865,0.00628648155324642
"Eubacterium sp. CAG:38",3.17697379975783,-3.17697379975783,0.00148820479866996,0.00749063081997211
"Bacteroides galacturonicus",3.12664767945847,-3.12664767945847,0.00176811677432043,0.00861243977168982
"Phocaeicola massiliensis",3.10959874035218,-3.10959874035218,0.00187341655823747,0.00884018438418308
"Coprobacillus cateniformis",3.08469750350402,-3.08469750350402,0.0020375927405416,0.00932353041884189
"Butyricimonas virosa",3.05192075718384,-3.05192075718384,0.0022738212005049,0.0099004756920453
"[Clostridium] symbiosum",-3.04916131181647,3.04916131181647,0.00229481224650057,0.0099004756920453
"Lawsonibacter asaccharolyticus",3.00693834086781,-3.00693834086781,0.00263893283641181,0.0110570879356099
"Barnesiella intestinihominis",2.99892356547774,-2.99892356547774,0.00270935267296402,0.0110570879356099
"Bacteroides xylanisolvens",2.94760863195924,-2.94760863195924,0.00320242212613597,0.0127254142380666
"Firmicutes bacterium CAG:83",2.91017873758766,-2.91017873758766,0.00361222114225712,0.0139857792943801
"Clostridium sp. CAG:167",2.88854021576185,-2.88854021576185,0.00387034534302244,0.0146105536699097
"[Eubacterium] rectale",2.87373206051578,-2.87373206051578,0.00405652944268264,0.0149399011181727
"Bacteroides uniformis",2.80154472395834,-2.80154472395834,0.00508585910434589,0.0182848743989578
"Ruthenibacterium lactatiformans",2.7562836983922,-2.7562836983922,0.00584622655105749,0.0201036087052343
"Bilophila wadsworthia",2.75562535861544,-2.75562535861544,0.00585800518563118,0.0201036087052343
"Lactobacillus rogosae",2.67683839420743,-2.67683839420743,0.00743204728534863,0.0249386475575032
"Eubacterium sp. CAG:274",2.66613736250296,-2.66613736250296,0.00767283353827986,0.0251869100930491
"[Ruminococcus] gnavus",-2.62675739455804,2.62675739455804,0.00862027693230163,0.0276949322718627
"Coprobacter fastidiosus",2.59044473797317,-2.59044473797317,0.00958520098463622,0.0300098839679166
"Firmicutes bacterium CAG:145",2.58498559050194,-2.58498559050194,0.00973830671806564,0.0300098839679166
"Turicibacter sanguinis",2.44942250873748,-2.44942250873748,0.014308549483,0.0432118194386599
"Coprobacter secundus",2.36910338949062,-2.36910338949062,0.0178312680809736,0.0527945388279806
"Alistipes indistinctus",2.3478757077548,-2.3478757077548,0.0188808206027951,0.0548269982888856
"[Clostridium] innocuum",-2.31845051393272,2.31845051393272,0.0204248494520294,0.0581915522123858
"Clostridium sp. CAG:58",2.29520596263387,-2.29520596263387,0.0217213236471829,0.0607392568652708
"Ruminococcus callidus",2.18121470617721,-2.18121470617721,0.0291675395939519,0.0789007230038178
"Agathobaculum butyriciproducens",2.17994963254097,-2.17994963254097,0.0292611952861841,0.0789007230038178
"Acidaminococcus intestini",-2.15023652576851,2.15023652576851,0.0315365103306862,0.0830674427021578
"Collinsella aerofaciens",2.14557752880014,-2.14557752880014,0.0319066998458619,0.0830674427021578
"Dielma fastidiosa",-2.09666737848348,2.09666737848348,0.0360230301797533,0.0909610357081076
"Coprococcus comes",2.08928601440187,-2.08928601440187,0.0366819845764246,0.0909610357081076
"Firmicutes bacterium CAG:95",2.0885766505144,-2.0885766505144,0.0367458488622157,0.0909610357081076
"Roseburia intestinalis",2.08093848113315,-2.08093848113315,0.0374395373335557,0.0911833893123694
"Enterocloster bolteae",-2.04287820017666,2.04287820017666,0.0410644968321265,0.0977862489437889
"Escherichia coli",-2.03904208634838,2.03904208634838,0.0414458273669039,0.0977862489437889
"Enterocloster lavalensis",-1.99023826085081,1.99023826085081,0.046564695429604,0.108173369382619
"Enterocloster clostridioformis",-1.96355283499174,1.96355283499174,0.0495819716017365,0.113437541088821
"Bifidobacterium longum",1.95373317794261,-1.95373317794261,0.0507327804337632,0.113526128037436
"Parabacteroides merdae",1.95043453466683,-1.95043453466683,0.0511243490499713,0.113526128037436
"Clostridium sp. CAG:242",-1.9356213903614,1.9356213903614,0.0529140885981964,0.115797498236633
"Anaerotruncus colihominis",1.92464377263981,-1.92464377263981,0.0542739392626725,0.117076640409479
"Bacteroides intestinalis",1.90188699823978,-1.90188699823978,0.0571859293149677,0.121620779247326
"Eubacterium sp. CAG:251",1.86990329301862,-1.86990329301862,0.0614972484452143,0.128973396044824
"Parabacteroides distasonis",1.86304275043455,-1.86304275043455,0.0624562517867697,0.129190329038387
"Eubacterium sp. CAG:180",1.84424704416623,-1.84424704416623,0.0651471451808276,0.132325458487455
"Alistipes inops",1.83496631246106,-1.83496631246106,0.0665106810496658,0.132325458487455
"Bacteroides caccae",1.83435784353663,-1.83435784353663,0.0666008930135538,0.132325458487455
"Enterocloster citroniae",-1.6858285385441,1.6858285385441,0.0918288292749141,0.178322439796456
"Paraprevotella xylaniphila",1.6814387680601,-1.6814387680601,0.0926777206251355,0.178322439796456
"Enterocloster aldenensis",-1.67057622578026,1.67057622578026,0.094805411635692,0.178322439796456
"Clostridium bolteae CAG:59",-1.66672198771371,1.66672198771371,0.0955696986940729,0.178322439796456
"Blautia obeum",1.66628627995071,-1.66628627995071,0.0956564081027345,0.178322439796456
"Blautia hydrogenotrophica",-1.61993627033792,1.61993627033792,0.105245967520951,0.193806598727604
"Bacteroides faecis",1.52483806768293,-1.52483806768293,0.12729949233717,0.23159305232425
"Eisenbergiella massiliensis",-1.51385884722401,1.51385884722401,0.130061643515358,0.233801287747846
"Bacteroides salyersiae",1.50256634705268,-1.50256634705268,0.132950906956213,0.236101190933984
"Holdemania filiformis",1.49671194055548,-1.49671194055548,0.134468227949156,0.236101190933984
"Veillonella parvula",-1.48557066526718,1.48557066526718,0.137392719067384,0.238463225047988
"Intestinimonas butyriciproducens",1.47566895904616,-1.47566895904616,0.14003278288857,0.239502953923825
"Bifidobacterium bifidum",-1.47147023002431,1.47147023002431,0.141163992710069,0.239502953923825
"Blautia sp. CAG:257",-1.44106803014457,1.44106803014457,0.149565464353646,0.250937612415562
"Blautia producta",-1.42076692590755,1.42076692590755,0.15538452880224,0.253079256488992
"Lachnospira eligens",1.4202311631239,-1.4202311631239,0.155540393979788,0.253079256488992
"Bifidobacterium adolescentis",1.41909951389045,-1.41909951389045,0.155870005652161,0.253079256488992
"Dorea formicigenerans",1.40878937960855,-1.40878937960855,0.158897456454925,0.255250169411636
"Anaerostipes hadrus",1.37334727825604,-1.37334727825604,0.169644411388374,0.269645327575205
"Hungatella hathewayi",-1.35618953349603,1.35618953349603,0.175038871318903,0.273605398355151
"Bacteroides stercoris",1.35392671583855,-1.35392671583855,0.175759759208276,0.273605398355151
"Eisenbergiella tayi",1.30130250452284,-1.30130250452284,0.193154930300505,0.2976162701569
"Blautia wexlerae",1.27494528602491,-1.27494528602491,0.202328608596156,0.306627915654182
"Monoglobus pectinilyticus",1.27187554398746,-1.27187554398746,0.20341734240752,0.306627915654182
"Eubacterium ramulus",1.2671672502621,-1.2671672502621,0.205095493252135,0.306627915654182
"Parasutterella excrementihominis",1.25373438825316,-1.25373438825316,0.209938564298585,0.310791404010651
"Firmicutes bacterium CAG:94",-1.22376374877804,1.22376374877804,0.221041363323602,0.324050930697708
