"feature_stripped","species","coef_maaslin_tier1","qval_maaslin_tier1","statistic_wilcox_corrected","pval_wilcox","qval_wilcox","sign_agree_maaslin_wilcox","gFC","gfc_maaslin_agree","gfc_wilcox_agree"
"gemmigerformicilis","Gemmiger formicilis",-3.10654724828063,1.2045964246213e-12,-7.18595164828017,6.67466082404644e-13,1.00787378443101e-10,TRUE,-1.42015683489217,TRUE,TRUE
"ruminococcusbromii","Ruminococcus bromii",-4.21820219524098,3.15335715178512e-09,-6.01921415301136,1.75265868485042e-09,1.32325730706206e-07,TRUE,-1.69739434408178,TRUE,TRUE
"adlercreutziaequolifaciens","Adlercreutzia equolifaciens",-2.96257964944232,7.29348387356962e-08,-5.70937941785422,1.13388858302699e-08,5.70723920123584e-07,TRUE,-1.6562344812659,TRUE,TRUE
"alistipesputredinis","Alistipes putredinis",-3.45962631433329,4.79279178675731e-07,-5.57366739360778,2.49431750809492e-08,9.41604859305833e-07,TRUE,-0.877755861440188,TRUE,TRUE
"fusicatenibactersaccharivorans","Fusicatenibacter saccharivorans",-2.56439375144303,7.02594542507978e-07,-4.06714419868426,4.75927952892086e-05,0.000513322292047892,TRUE,-0.998253031634966,TRUE,TRUE
"ruminococcustorques","[Ruminococcus] torques",-2.7746171962287,1.93042078118804e-06,-4.54996531129344,5.36547600593629e-06,0.000101273359612047,TRUE,-1.41228063144077,TRUE,TRUE
"erysipelatoclostridiumramosum","Erysipelatoclostridium ramosum",1.90693604654259,6.9533534306161e-05,4.07205656179391,4.65998591651537e-05,0.000513322292047892,TRUE,0.403360929202025,TRUE,TRUE
"anaerobutyricumhallii","Anaerobutyricum hallii",-2.20399446698006,7.26106460271323e-05,-3.80575305197533,0.000141373386713939,0.00113083717751528,TRUE,-1.42652453684475,TRUE,TRUE
"clostridiumleptum","[Clostridium] leptum",-2.14178519240352,0.000247370225448709,-4.4196895299212,9.88428012749232e-06,0.000165836255472371,TRUE,-0.745838669682868,TRUE,TRUE
"eubacteriumventriosum","Eubacterium ventriosum",-1.53373749191163,0.000384784941713624,-4.0760381998484,4.58094965993805e-05,0.000513322292047892,TRUE,-0.606889230698889,TRUE,TRUE
"ruminococcusbicirculans","Ruminococcus bicirculans",-2.31115179999398,0.000482601317772601,-3.80415203762935,0.000142290770680731,0.00113083717751528,TRUE,-0.938464683445735,TRUE,TRUE
"eubacteriumrectale","[Eubacterium] rectale",-2.1376936093522,0.000670180976143312,-2.87373206051578,0.00405652944268264,0.0149399011181727,TRUE,-0.81440501649217,TRUE,TRUE
"roseburiainulinivorans","Roseburia inulinivorans",-1.73516967659398,0.00129413144767585,-3.47100010100207,0.000518523804520443,0.00372843307059938,TRUE,-0.493063538134213,TRUE,TRUE
"coprococcuscatus","Coprococcus catus",-1.6536091151573,0.00191116604563522,-3.30279629955568,0.000957258971896913,0.00582543384204674,TRUE,-1.04668910138599,TRUE,TRUE
"ruminococcuslactaris","[Ruminococcus] lactaris",-1.76000657659994,0.00385498986717099,-3.30068943050823,0.000964475801663367,0.00582543384204674,TRUE,-0.645291805489269,TRUE,TRUE
"clostridiumsymbiosum","[Clostridium] symbiosum",1.41553867240777,0.00513996041736575,3.04916131181647,0.00229481224650057,0.0099004756920453,TRUE,0.42323779343776,TRUE,TRUE
"eubacteriumspcag274","Eubacterium sp. CAG:274",-1.3584454745446,0.00613211261991497,-2.66613736250296,0.00767283353827986,0.0251869100930491,TRUE,-0.535610931035204,TRUE,TRUE
"turicibactersanguinis","Turicibacter sanguinis",-0.97364574122773,0.0274457258965483,-2.44942250873748,0.014308549483,0.0432118194386599,TRUE,-0.42438472403931,TRUE,TRUE
"clostridiumspcag167","Clostridium sp. CAG:167",-0.948120505042073,0.0414171859579305,-2.88854021576185,0.00387034534302244,0.0146105536699097,TRUE,-0.385877613254366,TRUE,TRUE
