"Variables","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
2,0.754192236335093,0.47032967032967,0.865584415584416,0.0797700366167182,0.116042661035435,0.0614119612769304
3,0.793753270538985,0.521428571428571,0.874675324675325,0.0705736897512445,0.0930089214797984,0.0852559275221617
4,0.775986513486513,0.573626373626374,0.805411255411255,0.0795389465037193,0.105980514594088,0.107759701553131
5,0.785111911897626,0.559340659340659,0.828354978354978,0.0890038380218227,0.121813460808417,0.0867605742605013
6,0.791745754245754,0.559340659340659,0.823593073593074,0.0922844305340058,0.137711400956642,0.116607776095157
7,0.780939298796442,0.580769230769231,0.823809523809524,0.0998467790704673,0.14786584410647,0.111682159187119
8,0.782416393130679,0.580769230769231,0.823809523809524,0.105505682485547,0.166476363599931,0.132545004335278
9,0.789983825698111,0.587912087912088,0.842207792207792,0.103943364669445,0.119735964312682,0.104517790868116
10,0.806322249179392,0.602747252747253,0.842640692640693,0.0907764201080554,0.12386830214959,0.107868821906883
11,0.810659578516721,0.587912087912088,0.865151515151515,0.0896572070157419,0.130255709792634,0.0941277816125223
12,0.821347699919128,0.602197802197802,0.874458874458874,0.0728993529295278,0.135956169490544,0.0998698786320247
13,0.816334260977118,0.587362637362637,0.874242424242424,0.0786054315906321,0.146461755764416,0.0817142171163922
14,0.824665215736644,0.601648351648352,0.856060606060606,0.0727709399467879,0.107926597205759,0.0950479649221762
15,0.824923885638171,0.573076923076923,0.856709956709957,0.0798325535688735,0.112515941583344,0.0801924602020347
16,0.824428547642833,0.601648351648352,0.856060606060606,0.0833013256625741,0.127213591163462,0.0882667009502349
17,0.826986703772418,0.573626373626374,0.865367965367965,0.0742301471111202,0.120967888374748,0.0657460975586716
18,0.826648351648352,0.587912087912088,0.846753246753247,0.07813291635913,0.104572178927621,0.0899349998176477
19,0.826970053755768,0.587362637362637,0.851515151515152,0.0766722786868903,0.127771375090657,0.0940179392915893
