"species","mean_rel_abund","overall_prevalence","n_cohorts_passing_threshold","passed_abundance_prevalence_filter","passed_majority_cohort_rule","kept_final"
"Phocaeicola vulgatus",10.2599370254958,0.86685552407932,4,TRUE,TRUE,TRUE
"Bacteroides uniformis",6.24055549575071,0.86685552407932,4,TRUE,TRUE,TRUE
"Bacteroides thetaiotaomicron",1.06222150141643,0.651558073654391,4,TRUE,TRUE,TRUE
"Faecalibacterium prausnitzii",5.08743509915014,0.932011331444759,4,TRUE,TRUE,TRUE
"Roseburia faecis",2.48005668555241,0.711048158640227,4,TRUE,TRUE,TRUE
"Bacteroides caccae",1.24433875354108,0.640226628895184,4,TRUE,TRUE,TRUE
"Enterocloster clostridioformis",0.162679235127479,0.226628895184136,4,TRUE,TRUE,TRUE
"Bacteroides fragilis",1.64088481586402,0.461756373937677,4,TRUE,TRUE,TRUE
"Fusicatenibacter saccharivorans",0.974741133144476,0.807365439093484,4,TRUE,TRUE,TRUE
"Flavonifractor plautii",0.459067025495751,0.728045325779037,4,TRUE,TRUE,TRUE
"Dialister invisus",0.154633739376771,0.382436260623229,4,TRUE,TRUE,TRUE
"Ruminococcus bicirculans",0.577005750708215,0.498583569405099,4,TRUE,TRUE,TRUE
"Blautia sp. CAG:257",0.117701501416431,0.198300283286119,4,TRUE,TRUE,TRUE
"[Ruminococcus] gnavus",0.741439575070821,0.552407932011331,4,TRUE,TRUE,TRUE
"Dorea longicatena",1.32724541076487,0.813031161473088,4,TRUE,TRUE,TRUE
"Anaerobutyricum hallii",1.07869229461756,0.708215297450425,4,TRUE,TRUE,TRUE
"Enterocloster bolteae",0.189059150141643,0.453257790368272,4,TRUE,TRUE,TRUE
"Eubacterium sp. CAG:38",0.20076954674221,0.441926345609065,4,TRUE,TRUE,TRUE
"Lacrimispora saccharolytica",0.0327802549575071,0.209631728045326,4,TRUE,TRUE,TRUE
"Intestinimonas butyriciproducens",0.0188156940509915,0.311614730878187,3,TRUE,TRUE,TRUE
"Clostridiales bacterium 1_7_47FAA",0.00166065155807365,0.084985835694051,2,FALSE,FALSE,FALSE
"Anaerostipes hadrus",1.77700362606232,0.864022662889518,4,TRUE,TRUE,TRUE
"Anaerotignum lactatifermentans",0.0582710481586402,0.144475920679887,3,TRUE,TRUE,TRUE
"Ruthenibacterium lactatiformans",0.260267138810198,0.730878186968839,4,TRUE,TRUE,TRUE
"Lawsonibacter asaccharolyticus",0.0284420679886686,0.501416430594901,4,TRUE,TRUE,TRUE
"Enterocloster asparagiformis",0.00256963172804533,0.104815864022663,3,FALSE,TRUE,FALSE
"Clostridium bolteae CAG:59",0.0344769121813031,0.178470254957507,3,TRUE,TRUE,TRUE
"[Clostridium] symbiosum",0.122791813031161,0.308781869688385,4,TRUE,TRUE,TRUE
"Anaerotruncus colihominis",0.0124242492917847,0.254957507082153,3,TRUE,TRUE,TRUE
"Agathobaculum butyriciproducens",0.197290481586402,0.662889518413598,4,TRUE,TRUE,TRUE
"Escherichia coli",0.943409575070822,0.54957507082153,4,TRUE,TRUE,TRUE
"Eisenbergiella massiliensis",0.0798565439093484,0.314447592067989,4,TRUE,TRUE,TRUE
"Enterocloster citroniae",0.0203982152974504,0.277620396600567,3,TRUE,TRUE,TRUE
"Bacteroides stercoris",3.34301725212465,0.512747875354108,4,TRUE,TRUE,TRUE
"Monoglobus pectinilyticus",0.0456231444759207,0.169971671388102,4,TRUE,TRUE,TRUE
"Alistipes putredinis",1.98288889518414,0.694050991501416,4,TRUE,TRUE,TRUE
"Parabacteroides distasonis",1.68211045325779,0.770538243626062,4,TRUE,TRUE,TRUE
"Roseburia hominis",0.245452776203966,0.677053824362606,4,TRUE,TRUE,TRUE
"Bifidobacterium longum",1.18092541076487,0.711048158640227,4,TRUE,TRUE,TRUE
"[Eubacterium] siraeum",0.524423909348442,0.447592067988669,4,TRUE,TRUE,TRUE
"Parabacteroides merdae",0.909692634560907,0.609065155807365,4,TRUE,TRUE,TRUE
"Roseburia inulinivorans",0.726178385269122,0.702549575070821,4,TRUE,TRUE,TRUE
"Gordonibacter pamelaeae",0.0575569971671388,0.436260623229462,4,TRUE,TRUE,TRUE
"Bacteroides cellulosilyticus",0.443319008498584,0.288951841359773,4,TRUE,TRUE,TRUE
"Bacteroides ovatus",1.22324365439093,0.742209631728045,4,TRUE,TRUE,TRUE
"Blautia wexlerae",0.536913314447592,0.776203966005666,4,TRUE,TRUE,TRUE
"Bifidobacterium adolescentis",1.61093818696884,0.492917847025496,4,TRUE,TRUE,TRUE
"Firmicutes bacterium CAG:424",0.0184496883852691,0.0538243626062323,2,FALSE,FALSE,FALSE
"Lachnospira eligens",1.54678830028329,0.691218130311615,4,TRUE,TRUE,TRUE
"[Clostridium] leptum",0.0702065722379603,0.507082152974504,4,TRUE,TRUE,TRUE
"Adlercreutzia equolifaciens",0.125076628895184,0.45042492917847,4,TRUE,TRUE,TRUE
"Eggerthella lenta",0.137040821529745,0.362606232294618,4,TRUE,TRUE,TRUE
"Bacteroides xylanisolvens",0.68747657223796,0.603399433427762,4,TRUE,TRUE,TRUE
"Phocaeicola dorei",3.47069597733711,0.594900849858357,4,TRUE,TRUE,TRUE
"Enterocloster lavalensis",0.0204383852691218,0.229461756373938,3,TRUE,TRUE,TRUE
"[Eubacterium] rectale",2.47632223796034,0.821529745042493,4,TRUE,TRUE,TRUE
"Akkermansia muciniphila",1.03445968838527,0.410764872521246,4,TRUE,TRUE,TRUE
"Acidaminococcus intestini",0.297946742209632,0.15014164305949,4,TRUE,TRUE,TRUE
"Anaerotruncus sp. CAG:528",0.139516232294618,0.0396600566572238,2,FALSE,FALSE,FALSE
"[Ruminococcus] torques",1.13282082152975,0.711048158640227,4,TRUE,TRUE,TRUE
"Bacteroides salyersiae",0.104250283286119,0.172804532577904,3,TRUE,TRUE,TRUE
"Parabacteroides johnsonii",0.0934003116147309,0.172804532577904,2,TRUE,FALSE,FALSE
"Sellimonas intestinalis",0.0359799433427762,0.15014164305949,4,TRUE,TRUE,TRUE
"Bacteroides faecis",0.423627932011331,0.286118980169972,4,TRUE,TRUE,TRUE
"Roseburia intestinalis",1.05754130311615,0.603399433427762,4,TRUE,TRUE,TRUE
"Collinsella aerofaciens",1.25710388101983,0.705382436260623,4,TRUE,TRUE,TRUE
"Bacteroides intestinalis",0.232080311614731,0.164305949008499,4,TRUE,TRUE,TRUE
"Bacteroides faecis CAG:32",0.207765920679887,0.1671388101983,3,TRUE,TRUE,TRUE
"[Ruminococcus] lactaris",0.29323447592068,0.371104815864023,4,TRUE,TRUE,TRUE
"Prevotella copri",5.89327073654391,0.368271954674221,4,TRUE,TRUE,TRUE
"Erysipelothrix larvae",0.000398895184135977,0.0056657223796034,0,FALSE,FALSE,FALSE
"Eisenbergiella tayi",0.0423771954674221,0.252124645892351,4,TRUE,TRUE,TRUE
"Klebsiella pneumoniae",0.282120226628895,0.0878186968838527,3,FALSE,TRUE,FALSE
"Proteus mirabilis",0.0171324645892351,0.0226628895184136,0,FALSE,FALSE,FALSE
"Intestinibacter bartlettii",0.120062152974504,0.430594900849858,4,TRUE,TRUE,TRUE
"Erysipelatoclostridium ramosum",0.0993941926345609,0.243626062322946,4,TRUE,TRUE,TRUE
"Bacteroides sp. 43_108",0.0255332294617564,0.0084985835694051,0,FALSE,FALSE,FALSE
"Blautia producta",0.0194691501416431,0.113314447592068,3,TRUE,TRUE,TRUE
"Barnesiella intestinihominis",0.689168923512748,0.526912181303116,4,TRUE,TRUE,TRUE
"Tyzzerella nexilis",0.00135342776203966,0.0651558073654391,3,FALSE,TRUE,FALSE
"Ruminococcus obeum CAG:39",0.0219084135977337,0.084985835694051,3,FALSE,TRUE,FALSE
"Blautia obeum",0.615483796033994,0.75070821529745,4,TRUE,TRUE,TRUE
"[Clostridium] scindens",0.00955354107648725,0.0793201133144476,3,FALSE,TRUE,FALSE
"Bacteroides finegoldii",0.290725807365439,0.254957507082153,3,TRUE,TRUE,TRUE
"Parasutterella excrementihominis",0.215501331444759,0.498583569405099,3,TRUE,TRUE,TRUE
"Phascolarctobacterium faecium",0.123855750708215,0.322946175637394,4,TRUE,TRUE,TRUE
"Lachnospira pectinoschiza",0.845767478753541,0.464589235127479,4,TRUE,TRUE,TRUE
"Clostridium sp. CAG:58",0.0932631444759207,0.501416430594901,4,TRUE,TRUE,TRUE
"Bilophila wadsworthia",0.0324434277620397,0.470254957507082,3,TRUE,TRUE,TRUE
"Turicimonas muris",0.0344459490084986,0.373937677053824,3,TRUE,TRUE,TRUE
"Proteobacteria bacterium CAG:139",0.216498441926346,0.41643059490085,4,TRUE,TRUE,TRUE
"Anaeromassilibacillus sp. An250",0.0168392067988669,0.320113314447592,4,TRUE,TRUE,TRUE
"Hungatella hathewayi",0.103866033994334,0.223796033994334,4,TRUE,TRUE,TRUE
"Alistipes finegoldii",0.526319376770538,0.620396600566572,4,TRUE,TRUE,TRUE
"Ruminococcus bromii",2.39937852691218,0.436260623229462,4,TRUE,TRUE,TRUE
"Odoribacter splanchnicus",0.434133059490085,0.620396600566572,4,TRUE,TRUE,TRUE
"Butyricimonas virosa",0.0484260056657224,0.402266288951841,3,TRUE,TRUE,TRUE
"Oscillibacter sp. CAG:241",0.0988796883852691,0.345609065155807,4,TRUE,TRUE,TRUE
"Alistipes indistinctus",0.026887223796034,0.288951841359773,4,TRUE,TRUE,TRUE
"Coprococcus comes",1.01622473087819,0.711048158640227,4,TRUE,TRUE,TRUE
"Blautia hydrogenotrophica",0.0540670821529745,0.229461756373938,4,TRUE,TRUE,TRUE
"Lachnoclostridium sp. An181",9.30878186968839e-05,0.0056657223796034,0,FALSE,FALSE,FALSE
"Gemmiger formicilis",0.112366827195467,0.558073654390935,4,TRUE,TRUE,TRUE
