"model","n_samples","term","R2","Pr(>F)"
"base_cohort_group",353,"cohort",0.123265571388353,0.001
"base_cohort_group",353,"group",0.00928694150019969,0.001
"plus_age",173,"cohort",0.127621221343757,0.001
"plus_age",173,"group",0.0108182605026432,0.008
"plus_age",173,"age",0.00908479083597357,0.031
"plus_gender",271,"cohort",0.0665299068987111,0.001
"plus_gender",271,"group",0.00720614233311166,0.008
"plus_gender",271,"gender",0.00590634108781554,0.037
"plus_BMI",223,"cohort",0.0626620658970382,0.001
"plus_BMI",223,"group",0.00775655035329942,0.018
"plus_BMI",223,"BMI",0.00311482124500586,0.777
