"model","n_samples","term","R2","Pr(>F)"
"base_cohort_group",352,"cohort",0.129783976927721,0.001
"base_cohort_group",352,"group",0.0104869739979862,0.002
"plus_age",173,"cohort",0.125949138348345,0.001
"plus_age",173,"group",0.0131241335144262,0.006
"plus_age",173,"age",0.00350161254717532,0.611
"plus_gender",271,"cohort",0.072232620526072,0.001
"plus_gender",271,"group",0.0107392554214241,0.007
"plus_gender",271,"gender",0.00506404612907455,0.152
"plus_BMI",223,"cohort",0.0660857338128167,0.001
"plus_BMI",223,"group",0.00971286496460872,0.026
"plus_BMI",223,"BMI",0.00548968851254456,0.204
