"Variables","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
2,0.589021097949669,0.369230769230769,0.685930735930736,0.0894023005274289,0.150958420654387,0.112930190883431
3,0.631009466723752,0.434615384615385,0.713636363636364,0.0998310534770003,0.0983381754880008,0.142188920655173
4,0.643926906426906,0.397252747252747,0.740476190476191,0.0766876162591363,0.0768816389347411,0.0931068656479918
5,0.642687074829932,0.434615384615385,0.768614718614719,0.0952890769467682,0.10842893022934,0.0803652704635027
6,0.663686908329766,0.42032967032967,0.777272727272727,0.0918315440781238,0.122976858415416,0.0915109261674028
7,0.67108189429618,0.419230769230769,0.781818181818182,0.0981530163146204,0.0673957834742183,0.0796257035171369
8,0.674489795918367,0.418681318681319,0.801082251082251,0.0918603816936812,0.0636983593239096,0.0803458357161414
9,0.69635483564055,0.434065934065934,0.814935064935065,0.0833031936048847,0.0799592672268977,0.0888369279923426
10,0.686255411255411,0.454945054945055,0.81038961038961,0.0927096441978348,0.0829571269021711,0.126158274751221
11,0.688738047666619,0.425824175824176,0.787662337662338,0.0945234663887965,0.0788716227111153,0.109380318447247
12,0.702345273773845,0.456043956043956,0.815151515151515,0.0927048274649354,0.0943178988247893,0.101924331064904
13,0.698586532515104,0.448901098901099,0.796320346320346,0.0805247055239925,0.10562701537413,0.096159834046982
14,0.697564935064935,0.457142857142857,0.801298701298701,0.0936314928817661,0.0997723125427027,0.0972758514780164
15,0.697012511298226,0.456593406593407,0.810606060606061,0.104191780148996,0.0975504710711553,0.107782886797556
16,0.697195661481376,0.440659340659341,0.805844155844156,0.0917485391779877,0.105237272875898,0.109497332285059
17,0.696413705342277,0.448351648351648,0.824242424242424,0.0903650291559967,0.0969208896172971,0.0897901777904688
18,0.700854502640217,0.441208791208791,0.815151515151515,0.0806521049008193,0.0584389731253788,0.111574902058237
