"feature","sig_tier1","sig_tier2","sig_both"
"PWY.3841..folate.transformations.II",TRUE,FALSE,FALSE
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II",TRUE,TRUE,TRUE
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.",TRUE,FALSE,FALSE
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate",TRUE,FALSE,FALSE
"TRNA.CHARGING.PWY..tRNA.charging",TRUE,FALSE,FALSE
"PWY.7237..myo...chiro..and.scillo.inositol.degradation",TRUE,FALSE,FALSE
"PWY.5097..L.lysine.biosynthesis.VI",TRUE,FALSE,FALSE
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II",TRUE,FALSE,FALSE
"PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis",TRUE,FALSE,FALSE
"X1CMET2.PWY..N10.formyl.tetrahydrofolate.biosynthesis",TRUE,FALSE,FALSE
"PWY.6737..starch.degradation.V",TRUE,FALSE,FALSE
"HISTSYN.PWY..L.histidine.biosynthesis",TRUE,FALSE,FALSE
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I",TRUE,FALSE,FALSE
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis",TRUE,FALSE,FALSE
"PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I",TRUE,FALSE,FALSE
"PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II",TRUE,FALSE,FALSE
"PWY.6703..preQ0.biosynthesis",TRUE,FALSE,FALSE
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II",TRUE,FALSE,FALSE
"ARO.PWY..chorismate.biosynthesis.I",TRUE,FALSE,FALSE
"PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II",TRUE,FALSE,FALSE
"PWY.5104..L.isoleucine.biosynthesis.IV",TRUE,FALSE,FALSE
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.",TRUE,FALSE,FALSE
"PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic._combined",TRUE,FALSE,FALSE
"PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.",TRUE,FALSE,FALSE
"PWY.5686..UMP.biosynthesis",TRUE,FALSE,FALSE
"TRPSYN.PWY..L.tryptophan.biosynthesis",TRUE,FALSE,FALSE
"PWY.4984..urea.cycle",TRUE,FALSE,FALSE
