"feature_stripped","pathway","coef_maaslin_tier1","qval_maaslin_tier1","statistic_wilcox_corrected","pval_wilcox","qval_wilcox","sign_agree_maaslin_wilcox","gFC","gfc_maaslin_agree","gfc_wilcox_agree"
"pwy3841folatetransformationsii","PWY-3841: folate transformations II",-0.108917061638919,0.0487589733466386,-4.49895200782563,6.82892703518512e-06,0.000402906695075922,TRUE,-0.0812169906627152,TRUE,TRUE
"coapwy1coenzymeabiosynthesisiimammalian","COA-PWY-1: coenzyme A biosynthesis II (mammalian)",-0.0916272193914836,0.0682531272396966,-3.69383866385289,0.000220893981802472,0.00322517866421254,TRUE,-0.0902971753506458,TRUE,TRUE
"pwy6163chorismatebiosynthesisfrom3dehydroquinate","PWY-6163: chorismate biosynthesis from 3-dehydroquinate",-0.097171304986689,0.0682531272396966,-3.66640088024678,0.000245988203202652,0.00322517866421254,TRUE,-0.0928993636874501,TRUE,TRUE
"trnachargingpwytrnacharging","TRNA-CHARGING-PWY: tRNA charging",-0.0828124185762474,0.0938909129048747,-4.89245184309793,9.95874882336878e-07,0.000117513236115752,TRUE,-0.0879185160192988,TRUE,TRUE
"pwy5097llysinebiosynthesisvi","PWY-5097: L-lysine biosynthesis VI",-0.0777836289882406,0.126881461382132,-3.95828124582972,7.54910362261718e-05,0.00148465704578138,TRUE,-0.085832702707619,TRUE,TRUE
"pwy724superpathwayofllysinelthreonineandlmethioninebiosynthesisii","PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",-0.0904554171217125,0.126881461382132,-3.53308566910435,0.000410739350389377,0.0034619459532819,TRUE,-0.096213724892009,TRUE,TRUE
"pwy0162superpathwayofpyrimidineribonucleotidesdenovobiosynthesis","PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",-0.231385784757553,0.126881461382132,-3.27820195175198,0.00104470624287623,0.00468722852858309,TRUE,-0.101208295975419,TRUE,TRUE
"pwy6737starchdegradationv","PWY-6737: starch degradation V",-0.15317516302556,0.135013721512059,-3.2707830744823,0.00107250144298088,0.00468722852858309,TRUE,-0.115711640556657,TRUE,TRUE
"histsynpwylhistidinebiosynthesis","HISTSYN-PWY: L-histidine biosynthesis",-0.0997841174042957,0.135013721512059,-4.27303368697277,1.92831310745767e-05,0.00045508189336001,TRUE,-0.0773194841908998,TRUE,TRUE
"pwy61215aminoimidazoleribonucleotidebiosynthesisi","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",-0.0776626619700432,0.174303955250386,-3.62737841429689,0.000286313525712956,0.00331764161460476,TRUE,-0.0854449410196352,TRUE,TRUE
"completearopwysuperpathwayofaromaticaminoacidbiosynthesis","COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",-0.077371990755774,0.178266810896705,-3.13411946793526,0.00172370662075472,0.00712387929556547,TRUE,-0.101921256603089,TRUE,TRUE
"pwy6703preq0biosynthesis","PWY-6703: preQ0 biosynthesis",-0.20399996430078,0.185896597431734,-3.37348211017679,0.000742238694684039,0.00380800721620507,TRUE,-0.0175195176932014,TRUE,TRUE
"pwy61225aminoimidazoleribonucleotidebiosynthesisii","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",-0.0614598756979165,0.205958393030495,-3.3977024045271,0.000679542982789716,0.00380800721620507,TRUE,-0.0832826974541538,TRUE,TRUE
"aropwychorismatebiosynthesisi","ARO-PWY: chorismate biosynthesis I",-0.0789479493758748,0.205958393030495,-2.91392665113756,0.00356913755341082,0.0107989290077558,TRUE,-0.106560856026603,TRUE,TRUE
"pwy7187pyrimidinedeoxyribonucleotidesdenovobiosynthesisii","PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",-0.168156655239343,0.205958393030495,-3.12954309499358,0.00175078389467287,0.00712387929556547,TRUE,-0.119842446447937,TRUE,TRUE
"pwy6386udpnacetylmuramoylpentapeptidebiosynthesisiilysinecontaining","PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",-0.0654896127702141,0.231797710277525,-3.4786728282033,0.000503903387427229,0.00380800721620507,TRUE,-0.0887489606922782,TRUE,TRUE
"pwy5686umpbiosynthesis","PWY-5686: UMP biosynthesis",-0.0643647555837093,0.248981896158004,-3.58476079707164,0.000337387282841162,0.00331764161460476,TRUE,-0.0873701398568621,TRUE,TRUE
"trpsynpwyltryptophanbiosynthesis","TRPSYN-PWY: L-tryptophan biosynthesis",-0.129784226536977,0.248981896158004,-2.92193201203128,0.00347867467094054,0.0107989290077558,TRUE,-0.133428524484962,TRUE,TRUE
