"feature","statistic","statistic_corrected","pval","qval"
"TRNA-CHARGING-PWY: tRNA charging",4.89245184309793,-4.89245184309793,9.95874882336878e-07,0.000117513236115752
"PWY-3841: folate transformations II",4.49895200782563,-4.49895200782563,6.82892703518512e-06,0.000402906695075922
"PWY-6700: queuosine biosynthesis",4.35541177128511,-4.35541177128511,1.3281700631973e-05,0.00045508189336001
"PWY-7219: adenosine ribonucleotides de novo biosynthesis",4.27318376845066,-4.27318376845066,1.92701510295379e-05,0.00045508189336001
"HISTSYN-PWY: L-histidine biosynthesis",4.27303368697277,-4.27303368697277,1.92831310745767e-05,0.00045508189336001
"PWY-5097: L-lysine biosynthesis VI",3.95828124582972,-3.95828124582972,7.54910362261718e-05,0.00148465704578138
"1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis",3.72260160901835,-3.72260160901835,0.000197180516358975,0.00322517866421254
"COA-PWY-1: coenzyme A biosynthesis II (mammalian)",3.69383866385289,-3.69383866385289,0.000220893981802472,0.00322517866421254
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",3.66640088024678,-3.66640088024678,0.000245988203202652,0.00322517866421254
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",3.62737841429689,-3.62737841429689,0.000286313525712956,0.00331764161460476
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",3.59819675036599,-3.59819675036599,0.000320431181519254,0.00331764161460476
"PWY-5686: UMP biosynthesis",3.58476079707164,-3.58476079707164,0.000337387282841162,0.00331764161460476
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",3.55546220201486,-3.55546220201486,0.000377315189139971,0.00342486094757819
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",3.53308566910435,-3.53308566910435,0.000410739350389377,0.0034619459532819
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",3.4786728282033,-3.4786728282033,0.000503903387427229,0.00380800721620507
"PWY-2942: L-lysine biosynthesis III",3.44369891496637,-3.44369891496637,0.000573814320639521,0.00380800721620507
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",3.40326758959323,-3.40326758959323,0.000665850339672813,0.00380800721620507
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",3.3977024045271,-3.3977024045271,0.000679542982789716,0.00380800721620507
"PWY-6151: S-adenosyl-L-methionine cycle I",3.389059076971,-3.389059076971,0.000701328989589634,0.00380800721620507
"PANTO-PWY: phosphopantothenate biosynthesis I",3.38699391383473,-3.38699391383473,0.000706629553672178,0.00380800721620507
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",3.38678705132031,-3.38678705132031,0.000707162544793194,0.00380800721620507
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",3.38224218253038,-3.38224218253038,0.000718967297079098,0.00380800721620507
"PWY-6703: preQ0 biosynthesis",3.37348211017679,-3.37348211017679,0.000742238694684039,0.00380800721620507
"PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I",3.28063754508328,-3.28063754508328,0.00103572750082637,0.00468722852858309
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",3.27820195175198,-3.27820195175198,0.00104470624287623,0.00468722852858309
"PWY-5103: L-isoleucine biosynthesis III",3.27550499421741,-3.27550499421741,0.00105473249468813,0.00468722852858309
"PWY-6737: starch degradation V",3.2707830744823,-3.2707830744823,0.00107250144298088,0.00468722852858309
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",3.13411946793526,-3.13411946793526,0.00172370662075472,0.00712387929556547
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",3.12954309499358,-3.12954309499358,0.00175078389467287,0.00712387929556547
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",3.11082149889643,-3.11082149889643,0.00186567680054894,0.00723623430690105
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",3.09827258646567,-3.09827258646567,0.0019465229886706,0.00723623430690105
"PWY-3001: superpathway of L-isoleucine biosynthesis I",3.09586926348996,-3.09586926348996,0.00196236862560029,0.00723623430690105
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",3.04790694494948,-3.04790694494948,0.00230441274727333,0.00824002133873494
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",3.03411045611998,-3.03411045611998,0.00241246084810798,0.00837265823755122
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)",2.98064589809209,-2.98064589809209,0.00287641183441822,0.00969761704175287
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",2.97001775692924,-2.97001775692924,0.00297782535817315,0.00976064978512309
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",2.95213831584031,-2.95213831584031,0.00315581535153298,0.0100644922021862
"TRPSYN-PWY: L-tryptophan biosynthesis",2.92193201203128,-2.92193201203128,0.00347867467094054,0.0107989290077558
"ARO-PWY: chorismate biosynthesis I",2.91392665113756,-2.91392665113756,0.00356913755341082,0.0107989290077558
"GLUTORN-PWY: L-ornithine biosynthesis",2.87556287115973,-2.87556287115973,0.00403307817017917,0.0118811370415488
"PWY-7199: pyrimidine deoxyribonucleosides salvage",2.86819641248733,-2.86819641248733,0.00412819168392797,0.0118811370415488
"PWY-1042: glycolysis IV (plant cytosol)",2.83710877324744,-2.83710877324744,0.00455240999018391,0.0127901042581358
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",2.77551362787876,-2.77551362787876,0.00551145894652061,0.0151244687369635
"PWY-4984: urea cycle",2.76285206524044,-2.76285206524044,0.00572987297840388,0.0153664775329922
"COA-PWY: coenzyme A biosynthesis I",2.69957085160266,-2.69957085160266,0.00694289704461459,0.0182058189169894
"ANAEROFRUCAT-PWY: homolactic fermentation",2.67276507589024,-2.67276507589024,0.00752289130798145,0.0192574900088174
"CITRULBIO-PWY: L-citrulline biosynthesis",2.66624591881542,-2.66624591881542,0.00767035618995271,0.0192574900088174
"PWY-4242: pantothenate and coenzyme A biosynthesis III",2.61889216036003,-2.61889216036003,0.00882158300247582,0.0216863915477531
"PWY-6123: inosine-5'-phosphate biosynthesis I",2.54564227630018,-2.54564227630018,0.0109076903468026,0.0262674992025042
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",2.50754122350682,-2.50754122350682,0.0121574399594935,0.0286915583044046
"PWY-6168: flavin biosynthesis III (fungi)",2.40076375461174,-2.40076375461174,0.0163608953334706,0.0378546205754811
"THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I",2.3145502046958,-2.3145502046958,0.0206375606947526,0.0468313877304002
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I",2.24769265150548,-2.24769265150548,0.0245957949132545,0.0547604490521515
"PWY-6124: inosine-5'-phosphate biosynthesis II",2.2401494880816,-2.2401494880816,0.0250812196509191,0.054807109607564
"PWY-5484: glycolysis II (from fructose 6-phosphate)",2.15411586146966,-2.15411586146966,0.031231086949999,0.0663985356724658
"PWY-7237: myo-, chiro- and scillo-inositol degradation",2.14554849338085,-2.14554849338085,0.0319090185414241,0.0663985356724658
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis",2.14348880672314,-2.14348880672314,0.0320738689265301,0.0663985356724658
"PWY-5667: CDP-diacylglycerol biosynthesis I",2.06871695380111,-2.06871695380111,0.0385726553269172,0.0784754022168316
"PWY0-1319: CDP-diacylglycerol biosynthesis II",2.0613553649288,-2.0613553649288,0.0392691498407927,0.0785382996815853
"PWY-6609: adenine and adenosine salvage III",1.96622094543423,-1.96622094543423,0.0492730940110833,0.0969037515551304
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",1.95855961238788,-1.95855961238788,0.0501643833332606,0.0970392989069631
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",1.94919668751976,-1.94919668751976,0.051271940405798,0.0975820801271639
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation",1.93692331881962,-1.93692331881962,0.0527547175054364,0.0988104232641507
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",1.90428823110516,-1.90428823110516,0.0568726561250785,0.104858959730614
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)",1.88706554513883,-1.88706554513883,0.0591515102401496,0.107382741666733
"THRESYN-PWY: superpathway of L-threonine biosynthesis",1.8683066617138,-1.8683066617138,0.0617193386124673,0.108783162222215
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",1.8679667136025,-1.8679667136025,0.0617667107532913,0.108783162222215
"COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I",1.63919007942063,-1.63919007942063,0.101173679281053,0.175566090517122
"PWY-5973: cis-vaccenate biosynthesis",1.61146550738823,-1.61146550738823,0.107078299319234,0.183119410429994
"PWY-6897: thiamin salvage II",1.53266884037757,-1.53266884037757,0.125357470351326,0.211316878592235
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",1.43381118736319,-1.43381118736319,0.151626151571687,0.251998392752945
"PWY-5030: L-histidine degradation III",1.34406586703659,-1.34406586703659,0.17892708844869,0.293241617179797
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",1.30148551622702,-1.30148551622702,0.193092319013134,0.312121830733559
"PWY-7663: gondoate biosynthesis (anaerobic)",1.16299889312106,-1.16299889312106,0.244829951512884,0.390404517277301
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",-1.14896969800564,1.14896969800564,0.250568475792032,0.39422773524613
"HISDEG-PWY: L-histidine degradation I",1.13685144422739,-1.13685144422739,0.255600393305923,0.396853242238143
"PWY-621: sucrose degradation III (sucrose invertase)",-1.10290631139066,1.10290631139066,0.270067853120896,0.413870216470983
"PWY66-422: D-galactose degradation V (Leloir pathway)",1.04645979840859,-1.04645979840859,0.295348796509962,0.446809717797122
"HSERMETANA-PWY: L-methionine biosynthesis III",1.00091507524833,-1.00091507524833,0.316867867638494,0.469003377528754
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)_combined",-0.99561100659871,0.99561100659871,0.319439184820099,0.469003377528754
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.990472966106115,-0.990472966106115,0.321942996439229,0.469003377528754
"PWY-6936: seleno-amino acid biosynthesis",0.977915049482363,-0.977915049482363,0.328116341203063,0.472167417828798
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.949677393955064,-0.949677393955064,0.342276199710516,0.486609536937842
"PWY-5100: pyruvate fermentation to acetate and lactate II",0.932895119459552,-0.932895119459552,0.350874122526286,0.491851372452055
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",0.926281480938175,-0.926281480938175,0.354299717444277,0.491851372452055
"PWY-6317: galactose degradation I (Leloir pathway)",0.898734387735314,-0.898734387735314,0.36879415575838,0.506019888133592
"PWY0-1261: anhydromuropeptides recycling",0.872052223514669,-0.872052223514669,0.383179888303214,0.51971525080206
"THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)",0.818321201651599,-0.818321201651599,0.413173802895395,0.554028508427916
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)",0.793117356857565,-0.793117356857565,0.427709451219634,0.563351835232365
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)",-0.789747699231278,0.789747699231278,0.429675128567058,0.563351835232365
"PWY-6892: thiazole biosynthesis I (E. coli)",0.737020621782936,-0.737020621782936,0.461109808852177,0.59789929721406
"PWY-6527: stachyose degradation",0.728743180182561,-0.728743180182561,0.466158774099097,0.59789929721406
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",0.693270924003182,-0.693270924003182,0.48813954637612,0.619359854541743
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.681899414416259,-0.681899414416259,0.495302555722632,0.621762782715645
"PWY-5104: L-isoleucine biosynthesis IV",0.645495764270088,-0.645495764270088,0.518605962326492,0.644163195310801
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)",0.616525695263901,-0.616525695263901,0.537547618463749,0.660735614361692
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.568010586738706,-0.568010586738706,0.570027779342331,0.693435855282423
"PWY-6901: superpathway of glucose and xylose degradation",0.539878841193852,-0.539878841193852,0.589280590639377,0.709541935667821
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0.500712340467865,-0.500712340467865,0.616573586048673,0.731054727791619
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",-0.496505362451106,0.496505362451106,0.619537904908152,0.731054727791619
"RHAMCAT-PWY: L-rhamnose degradation I",-0.479848754070142,0.479848754070142,0.63133494263167,0.737599239906308
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",0.453644356393281,-0.453644356393281,0.650084822452284,0.752058912248721
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.433342673410147,-0.433342673410147,0.664765840810254,0.761576400151553
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I",0.374360095098551,-0.374360095098551,0.708136427520997,0.803462485071901
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.354008572166219,-0.354008572166219,0.723332459051922,0.812887906363113
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.311908997959142,-0.311908997959142,0.755109684033219,0.837625005947499
"PWY-4981: L-proline biosynthesis II (from arginine)",0.302208025040426,-0.302208025040426,0.762493486996044,0.837625005947499
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0.282300937854969,-0.282300937854969,0.777712766506306,0.837625005947499
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",0.272895212921569,-0.272895212921569,0.784933766444373,0.837625005947499
"PWY0-1296: purine ribonucleosides degradation",0.271377293801241,-0.271377293801241,0.786100863930404,0.837625005947499
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",-0.268992587347478,0.268992587347478,0.787935386950614,0.837625005947499
"GLUCONEO-PWY: gluconeogenesis I",0.226177551536006,-0.226177551536006,0.821063329521129,0.865048865031189
"PENTOSE-P-PWY: pentose phosphate pathway",-0.15781787247681,0.15781787247681,0.874600314948163,0.91329944392817
"PWY-5659: GDP-mannose biosynthesis",-0.0877308393152265,0.0877308393152265,0.930090607889728,0.952533605927061
"PWY-2941: L-lysine biosynthesis II",-0.0838817827869635,0.0838817827869635,0.93315042373774,0.952533605927061
"PWY66-400: glycolysis VI (metazoan)",0.0798092485161779,-0.0798092485161779,0.936388968538467,0.952533605927061
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.0244971680580997,-0.0244971680580997,0.980456042600692,0.983036326419723
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",-0.0212624138986471,0.0212624138986471,0.983036326419723,0.983036326419723
